Station Name,Station Id,State Name,Elevation,Latitude,Longitude
Agua Canyon,907,UTAH,8900,37.52217,-112.27118
Albro Lake,916,MONTANA,8300,45.59723,-111.95902
Aneroid Lake #2,302,OREGON,7400,45.21328,-117.19258
Apishapa,303,COLORADO,10000,37.33062,-105.06749
Arapaho Ridge,1030,COLORADO,10960,40.35098,-106.35098
Atlanta Summit,306,IDAHO,7580,43.7569,-115.23907
Baker Butte,308,ARIZONA,7300,34.4566,-111.40643
Baker Butte Smt,1140,ARIZONA,7700,34.45547,-111.38272
Bald Mtn.,309,WYOMING,9380,44.8007,-107.84442
Baldy,310,ARIZONA,9125,33.97883,-109.50344
Banner Summit,312,IDAHO,7040,44.30342,-115.23447
Barker Lakes,313,MONTANA,8250,46.09713,-113.13038
Base Camp,314,WYOMING,7060,43.94019,-110.44544
Basin Creek,315,MONTANA,7180,45.79737,-112.52047
Bateman,316,NEW MEXICO,9300,36.51174,-106.31543
Battle Mountain,317,WYOMING,7440,41.05413,-107.26609
Beagle Springs,318,MONTANA,8850,44.47147,-112.98191
Bear Canyon,320,IDAHO,7900,43.74367,-113.93797
Bear Creek,321,NEVADA,8040,41.83384,-115.45278
Bear Lake,322,COLORADO,9500,40.31176,-105.6467
Bear River,1061,COLORADO,9080,40.06153,-107.00955
Bear River RS,992,UTAH,8777,40.8852,-110.8277
Bear Trap Meadow,325,WYOMING,8200,43.88743,-107.06135
Beartooth Lake,326,WYOMING,9360,44.94307,-109.56743
Beartown,327,COLORADO,11600,37.71409,-107.51212
Beaver Ck Village,1041,COLORADO,8500,39.59917,-106.51142
Beaver Creek,328,MONTANA,7850,44.94966,-111.35852
Beaver Dams,329,UTAH,7990,39.13683,-111.55813
Beaver Divide,330,UTAH,8280,40.61233,-111.09782
Beaver Head,902,ARIZONA,7990,33.69144,-109.21657
Beaver Spring,1143,ARIZONA,9200,36.32678,-109.05711
Ben Lomond Peak,332,UTAH,7689,41.37603,-111.94405
Berry Creek,334,NEVADA,9377,39.31917,-114.62278
Berthoud Summit,335,COLORADO,11300,39.80392,-105.77789
Big Creek Sum,337,NEVADA,8685,39.29148,-117.11506
Big Flat,339,UTAH,10349,38.30183,-112.35672
Big Goose,931,WYOMING,7990,44.57924,-107.20068
Big Meadow,340,NEVADA,8235,39.455,-119.9422
Big Sandy Opening,342,WYOMING,9080,42.6458,-109.25965
Bird Creek,1155,NEVADA,7537,39.46138,-114.64863
Bison Lake,345,COLORADO,10880,39.76487,-107.35681
Black Bear,347,MONTANA,8170,44.50832,-111.12803
Black Flat-U.M. Ck,348,UTAH,9414,38.6799,-111.59765
Black Mesa,1185,COLORADO,11580,37.78972,-108.18365
Black Mountain,1161,COLORADO,8920,40.888,-105.66397
Black Pine,349,MONTANA,7210,46.414,-113.43095
Blackhall Mtn,1119,WYOMING,9820,41.05616,-106.71384
Blacks Fork Jct,1162,UTAH,8869,40.95814,-110.5828
Blackwater,350,WYOMING,9780,44.37667,-109.79333
Blind Bull Sum,353,WYOMING,8650,42.964,-110.60973
Bloody Dick,355,MONTANA,7600,45.16507,-113.50099
Blue Lakes,356,CALIFORNIA,8067,38.608,-119.92437
Bobs Hollow,1278,UTAH,9319,38.94569,-112.15349
Bone Springs Div,358,WYOMING,9350,44.67888,-107.5811
Bostetter R.S.,359,IDAHO,7500,42.16442,-114.19272
Boulder Mountain,360,MONTANA,7950,46.5596,-111.28973
Box Creek,364,UTAH,9853,38.50809,-112.01856
Box Springs,1156,UTAH,9228,38.49746,-112.00779
Brackett Creek,365,MONTANA,7320,45.89107,-110.93851
Brian Head,1154,UTAH,10039,37.67994,-112.85674
Brighton,366,UTAH,8766,40.59936,-111.58167
Bristlecone Trail,1111,NEVADA,8890,36.31575,-115.69543
Brooklyn Lake,367,WYOMING,10240,41.35885,-106.23209
Brown Duck,368,UTAH,10574,40.58102,-110.58587
Brumley,369,COLORADO,10600,39.08766,-106.5417
Buck Flat,371,UTAH,9409,39.134,-111.43722
Buck Pasture,1192,UTAH,9632,40.84456,-110.66068
Buckboard Flat,1153,UTAH,8924,37.86943,-109.44717
Buckskin Joe,938,COLORADO,11150,39.3035,-106.11307
Buffalo Park,913,COLORADO,9240,40.22861,-106.59528
Bug Lake,374,UTAH,7987,41.68541,-111.41987
Burgess Junction,377,WYOMING,7880,44.78765,-107.52917
Burnside Lake,1051,CALIFORNIA,8129,38.71943,-119.8942
Burro Mountain,378,COLORADO,9400,39.87505,-107.59853
Burroughs Creek,379,WYOMING,8750,43.69733,-109.67021
Burts Miller Ranch,1135,UTAH,8000,40.98492,-110.85075
